t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
3.0,22.29,66.3,65.4,1500,astra_camera_container,24.6
3.0,22.29,66.3,65.4,1500,ydlidar_ros2_driver_node,3.0
3.0,22.29,66.3,65.4,1500,joy_node,4.3
3.0,22.29,66.3,65.4,1500,servo_controller,35.3
3.0,22.29,66.3,65.4,1500,tunnel_wall_follower,7.3
3.0,22.29,66.3,65.4,1500,road_perception,52.9
3.0,22.29,66.3,65.4,1500,local_memory,27.6
3.0,22.29,66.3,65.4,1500,uwb_ranges,1.3
3.0,22.29,66.3,65.4,1500,local_pose,39.3
3.0,22.29,66.3,65.4,1500,global_pose,30.6
3.0,22.29,66.3,65.4,1500,global_planner,3.3
3.0,22.29,66.3,65.4,1500,mission_logic,39.3
3.0,22.29,66.3,65.4,1500,corridor,38.0
3.0,22.29,66.3,65.4,1500,local_planner,42.0
3.0,22.29,66.3,65.4,1500,parking_planner,49.6
3.0,22.29,66.3,65.4,1500,recovery_planner,54.6
3.0,22.29,66.3,65.4,1500,path_tracker,34.6
3.0,22.29,66.3,65.4,1500,tunnel_bridge,21.3
3.0,22.29,66.3,65.4,1500,safety_monitor,43.3
3.0,22.29,66.3,65.4,1500,command_owner,41.3
3.0,22.29,66.3,65.4,1500,bpu_detector,46.6
3.0,22.29,66.3,65.4,1500,system_monitor,52.6
3.0,22.29,66.3,65.4,1500,calibration_wizard,41.6
3.0,22.29,66.3,65.4,1500,gui_server,57.6
3.0,22.29,66.3,65.4,1500,measure_load.py,2.3
6.1,22.51,66.0,65.2,1500,astra_camera_container,23.4
6.1,22.51,66.0,65.2,1500,ydlidar_ros2_driver_node,2.9
6.1,22.51,66.0,65.2,1500,joy_node,3.9
6.1,22.51,66.0,65.2,1500,servo_controller,35.0
6.1,22.51,66.0,65.2,1500,tunnel_wall_follower,7.5
6.1,22.51,66.0,65.2,1500,road_perception,53.5
6.1,22.51,66.0,65.2,1500,local_memory,27.2
6.1,22.51,66.0,65.2,1500,uwb_ranges,1.6
6.1,22.51,66.0,65.2,1500,local_pose,37.6
6.1,22.51,66.0,65.2,1500,global_pose,29.2
6.1,22.51,66.0,65.2,1500,global_planner,3.2
6.1,22.51,66.0,65.2,1500,mission_logic,38.9
6.1,22.51,66.0,65.2,1500,corridor,36.7
6.1,22.51,66.0,65.2,1500,local_planner,43.1
6.1,22.51,66.0,65.2,1500,parking_planner,47.7
6.1,22.51,66.0,65.2,1500,recovery_planner,53.8
6.1,22.51,66.0,65.2,1500,path_tracker,34.4
6.1,22.51,66.0,65.2,1500,tunnel_bridge,21.1
6.1,22.51,66.0,65.2,1500,safety_monitor,39.9
6.1,22.51,66.0,65.2,1500,command_owner,41.2
6.1,22.51,66.0,65.2,1500,bpu_detector,36.7
6.1,22.51,66.0,65.2,1500,system_monitor,55.5
6.1,22.51,66.0,65.2,1500,calibration_wizard,38.9
6.1,22.51,66.0,65.2,1500,gui_server,57.7
6.1,22.51,66.0,65.2,1500,measure_load.py,2.9
9.2,24.95,65.9,65.1,1500,astra_camera_container,23.6
9.2,24.95,65.9,65.1,1500,ydlidar_ros2_driver_node,2.3
9.2,24.95,65.9,65.1,1500,joy_node,3.9
9.2,24.95,65.9,65.1,1500,servo_controller,33.7
9.2,24.95,65.9,65.1,1500,tunnel_wall_follower,7.1
9.2,24.95,65.9,65.1,1500,road_perception,50.2
9.2,24.95,65.9,65.1,1500,local_memory,27.5
9.2,24.95,65.9,65.1,1500,uwb_ranges,1.3
9.2,24.95,65.9,65.1,1500,local_pose,36.9
9.2,24.95,65.9,65.1,1500,global_pose,30.1
9.2,24.95,65.9,65.1,1500,global_planner,3.6
9.2,24.95,65.9,65.1,1500,mission_logic,42.4
9.2,24.95,65.9,65.1,1500,corridor,35.6
9.2,24.95,65.9,65.1,1500,local_planner,41.8
9.2,24.95,65.9,65.1,1500,parking_planner,47.0
9.2,24.95,65.9,65.1,1500,recovery_planner,54.7
9.2,24.95,65.9,65.1,1500,path_tracker,33.0
9.2,24.95,65.9,65.1,1500,tunnel_bridge,20.7
9.2,24.95,65.9,65.1,1500,safety_monitor,43.1
9.2,24.95,65.9,65.1,1500,command_owner,40.2
9.2,24.95,65.9,65.1,1500,bpu_detector,35.0
9.2,24.95,65.9,65.1,1500,system_monitor,57.0
9.2,24.95,65.9,65.1,1500,calibration_wizard,41.5
9.2,24.95,65.9,65.1,1500,gui_server,58.0
9.2,24.95,65.9,65.1,1500,measure_load.py,2.6
12.3,24.95,65.9,65.0,1500,nxserver.bin,1.9
12.3,24.95,65.9,65.0,1500,astra_camera_container,24.0
12.3,24.95,65.9,65.0,1500,ydlidar_ros2_driver_node,2.9
12.3,24.95,65.9,65.0,1500,joy_node,3.9
12.3,24.95,65.9,65.0,1500,servo_controller,32.4
12.3,24.95,65.9,65.0,1500,tunnel_wall_follower,7.5
12.3,24.95,65.9,65.0,1500,road_perception,53.9
12.3,24.95,65.9,65.0,1500,local_memory,26.6
12.3,24.95,65.9,65.0,1500,uwb_ranges,1.6
12.3,24.95,65.9,65.0,1500,local_pose,37.6
12.3,24.95,65.9,65.0,1500,global_pose,28.9
12.3,24.95,65.9,65.0,1500,global_planner,3.2
12.3,24.95,65.9,65.0,1500,mission_logic,37.0
12.3,24.95,65.9,65.0,1500,corridor,36.3
12.3,24.95,65.9,65.0,1500,local_planner,42.5
12.3,24.95,65.9,65.0,1500,parking_planner,49.0
12.3,24.95,65.9,65.0,1500,recovery_planner,58.4
12.3,24.95,65.9,65.0,1500,path_tracker,34.4
12.3,24.95,65.9,65.0,1500,tunnel_bridge,21.1
12.3,24.95,65.9,65.0,1500,safety_monitor,40.9
12.3,24.95,65.9,65.0,1500,command_owner,39.3
12.3,24.95,65.9,65.0,1500,bpu_detector,43.8
12.3,24.95,65.9,65.0,1500,system_monitor,48.3
12.3,24.95,65.9,65.0,1500,calibration_wizard,38.9
12.3,24.95,65.9,65.0,1500,gui_server,59.0
12.3,24.95,65.9,65.0,1500,measure_load.py,2.3
15.3,24.88,65.7,64.6,1500,astra_camera_container,23.3
15.3,24.88,65.7,64.6,1500,ydlidar_ros2_driver_node,2.6
15.3,24.88,65.7,64.6,1500,joy_node,3.9
15.3,24.88,65.7,64.6,1500,servo_controller,31.7
15.3,24.88,65.7,64.6,1500,tunnel_wall_follower,7.4
15.3,24.88,65.7,64.6,1500,road_perception,51.8
15.3,24.88,65.7,64.6,1500,local_memory,27.2
15.3,24.88,65.7,64.6,1500,uwb_ranges,1.6
15.3,24.88,65.7,64.6,1500,local_pose,39.2
15.3,24.88,65.7,64.6,1500,global_pose,30.1
15.3,24.88,65.7,64.6,1500,global_planner,2.9
15.3,24.88,65.7,64.6,1500,mission_logic,38.9
15.3,24.88,65.7,64.6,1500,corridor,36.6
15.3,24.88,65.7,64.6,1500,local_planner,44.4
15.3,24.88,65.7,64.6,1500,parking_planner,46.3
15.3,24.88,65.7,64.6,1500,recovery_planner,55.7
15.3,24.88,65.7,64.6,1500,path_tracker,35.3
15.3,24.88,65.7,64.6,1500,tunnel_bridge,20.4
15.3,24.88,65.7,64.6,1500,safety_monitor,41.1
15.3,24.88,65.7,64.6,1500,command_owner,39.8
15.3,24.88,65.7,64.6,1500,bpu_detector,38.2
15.3,24.88,65.7,64.6,1500,system_monitor,55.7
15.3,24.88,65.7,64.6,1500,calibration_wizard,39.8
15.3,24.88,65.7,64.6,1500,gui_server,55.7
15.3,24.88,65.7,64.6,1500,measure_load.py,2.6
18.4,24.73,65.6,64.6,1500,astra_camera_container,24.4
18.4,24.73,65.6,64.6,1500,ydlidar_ros2_driver_node,2.6
18.4,24.73,65.6,64.6,1500,joy_node,3.9
18.4,24.73,65.6,64.6,1500,servo_controller,32.8
18.4,24.73,65.6,64.6,1500,tunnel_wall_follower,7.1
18.4,24.73,65.6,64.6,1500,road_perception,52.6
18.4,24.73,65.6,64.6,1500,local_memory,26.0
18.4,24.73,65.6,64.6,1500,uwb_ranges,1.6
18.4,24.73,65.6,64.6,1500,local_pose,37.3
18.4,24.73,65.6,64.6,1500,global_pose,29.5
18.4,24.73,65.6,64.6,1500,global_planner,3.2
18.4,24.73,65.6,64.6,1500,mission_logic,39.6
18.4,24.73,65.6,64.6,1500,corridor,35.7
18.4,24.73,65.6,64.6,1500,local_planner,46.1
18.4,24.73,65.6,64.6,1500,parking_planner,47.7
18.4,24.73,65.6,64.6,1500,recovery_planner,56.2
18.4,24.73,65.6,64.6,1500,path_tracker,32.8
18.4,24.73,65.6,64.6,1500,tunnel_bridge,20.5
18.4,24.73,65.6,64.6,1500,safety_monitor,40.6
18.4,24.73,65.6,64.6,1500,command_owner,43.8
18.4,24.73,65.6,64.6,1500,bpu_detector,37.3
18.4,24.73,65.6,64.6,1500,system_monitor,51.6
18.4,24.73,65.6,64.6,1500,calibration_wizard,40.9
18.4,24.73,65.6,64.6,1500,gui_server,57.1
18.4,24.73,65.6,64.6,1500,measure_load.py,2.6
21.5,24.73,65.4,64.3,1500,astra_camera_container,24.6
21.5,24.73,65.4,64.3,1500,ydlidar_ros2_driver_node,2.3
21.5,24.73,65.4,64.3,1500,joy_node,3.9
21.5,24.73,65.4,64.3,1500,servo_controller,32.1
21.5,24.73,65.4,64.3,1500,tunnel_wall_follower,7.1
21.5,24.73,65.4,64.3,1500,road_perception,53.5
21.5,24.73,65.4,64.3,1500,local_memory,26.6
21.5,24.73,65.4,64.3,1500,uwb_ranges,1.6
21.5,24.73,65.4,64.3,1500,local_pose,37.3
21.5,24.73,65.4,64.3,1500,global_pose,30.2
21.5,24.73,65.4,64.3,1500,global_planner,3.6
21.5,24.73,65.4,64.3,1500,mission_logic,38.6
21.5,24.73,65.4,64.3,1500,corridor,34.7
21.5,24.73,65.4,64.3,1500,local_planner,45.7
21.5,24.73,65.4,64.3,1500,parking_planner,47.7
21.5,24.73,65.4,64.3,1500,recovery_planner,57.1
21.5,24.73,65.4,64.3,1500,path_tracker,35.0
21.5,24.73,65.4,64.3,1500,tunnel_bridge,20.4
21.5,24.73,65.4,64.3,1500,safety_monitor,38.9
21.5,24.73,65.4,64.3,1500,command_owner,40.9
21.5,24.73,65.4,64.3,1500,bpu_detector,41.8
21.5,24.73,65.4,64.3,1500,system_monitor,49.6
21.5,24.73,65.4,64.3,1500,calibration_wizard,40.2
21.5,24.73,65.4,64.3,1500,gui_server,59.3
21.5,24.73,65.4,64.3,1500,measure_load.py,2.6
24.6,24.11,65.4,64.4,1500,nxserver.bin,1.3
24.6,24.11,65.4,64.4,1500,astra_camera_container,24.0
24.6,24.11,65.4,64.4,1500,ydlidar_ros2_driver_node,2.9
24.6,24.11,65.4,64.4,1500,joy_node,3.9
24.6,24.11,65.4,64.4,1500,servo_controller,33.3
24.6,24.11,65.4,64.4,1500,tunnel_wall_follower,7.8
24.6,24.11,65.4,64.4,1500,road_perception,47.9
24.6,24.11,65.4,64.4,1500,local_memory,26.2
24.6,24.11,65.4,64.4,1500,uwb_ranges,1.6
24.6,24.11,65.4,64.4,1500,local_pose,38.5
24.6,24.11,65.4,64.4,1500,global_pose,29.8
24.6,24.11,65.4,64.4,1500,global_planner,3.2
24.6,24.11,65.4,64.4,1500,mission_logic,40.1
24.6,24.11,65.4,64.4,1500,corridor,35.0
24.6,24.11,65.4,64.4,1500,local_planner,42.1
24.6,24.11,65.4,64.4,1500,parking_planner,48.6
24.6,24.11,65.4,64.4,1500,recovery_planner,54.7
24.6,24.11,65.4,64.4,1500,path_tracker,35.6
24.6,24.11,65.4,64.4,1500,tunnel_bridge,21.0
24.6,24.11,65.4,64.4,1500,safety_monitor,41.4
24.6,24.11,65.4,64.4,1500,command_owner,43.1
24.6,24.11,65.4,64.4,1500,bpu_detector,40.1
24.6,24.11,65.4,64.4,1500,system_monitor,48.9
24.6,24.11,65.4,64.4,1500,calibration_wizard,40.5
24.6,24.11,65.4,64.4,1500,gui_server,58.9
24.6,24.11,65.4,64.4,1500,measure_load.py,2.6
27.7,24.11,65.4,64.4,1500,astra_camera_container,24.0
27.7,24.11,65.4,64.4,1500,ydlidar_ros2_driver_node,2.3
27.7,24.11,65.4,64.4,1500,joy_node,3.9
27.7,24.11,65.4,64.4,1500,servo_controller,33.4
27.7,24.11,65.4,64.4,1500,tunnel_wall_follower,6.8
27.7,24.11,65.4,64.4,1500,road_perception,52.2
27.7,24.11,65.4,64.4,1500,local_memory,26.6
27.7,24.11,65.4,64.4,1500,uwb_ranges,1.3
27.7,24.11,65.4,64.4,1500,local_pose,37.9
27.7,24.11,65.4,64.4,1500,global_pose,29.8
27.7,24.11,65.4,64.4,1500,global_planner,3.2
27.7,24.11,65.4,64.4,1500,mission_logic,38.6
27.7,24.11,65.4,64.4,1500,corridor,37.3
27.7,24.11,65.4,64.4,1500,local_planner,44.4
27.7,24.11,65.4,64.4,1500,parking_planner,47.0
27.7,24.11,65.4,64.4,1500,recovery_planner,55.4
27.7,24.11,65.4,64.4,1500,path_tracker,35.7
27.7,24.11,65.4,64.4,1500,tunnel_bridge,20.7
27.7,24.11,65.4,64.4,1500,safety_monitor,42.5
27.7,24.11,65.4,64.4,1500,command_owner,41.5
27.7,24.11,65.4,64.4,1500,bpu_detector,36.0
27.7,24.11,65.4,64.4,1500,system_monitor,50.6
27.7,24.11,65.4,64.4,1500,calibration_wizard,41.2
27.7,24.11,65.4,64.4,1500,gui_server,58.7
27.7,24.11,65.4,64.4,1500,measure_load.py,2.6
