t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
3.0,20.57,67.8,66.6,1500,python3,3.0
3.0,20.57,67.8,66.6,1500,astra_camera_container,67.3
3.0,20.57,67.8,66.6,1500,ydlidar_ros2_driver_node,2.7
3.0,20.57,67.8,66.6,1500,joy_node,4.3
3.0,20.57,67.8,66.6,1500,servo_controller,36.3
3.0,20.57,67.8,66.6,1500,tunnel_wall_follower,7.7
3.0,20.57,67.8,66.6,1500,road_perception,46.3
3.0,20.57,67.8,66.6,1500,local_memory,27.3
3.0,20.57,67.8,66.6,1500,uwb_ranges,1.7
3.0,20.57,67.8,66.6,1500,local_pose,37.6
3.0,20.57,67.8,66.6,1500,global_pose,29.0
3.0,20.57,67.8,66.6,1500,global_planner,3.0
3.0,20.57,67.8,66.6,1500,mission_logic,35.6
3.0,20.57,67.8,66.6,1500,corridor,32.3
3.0,20.57,67.8,66.6,1500,local_planner,43.3
3.0,20.57,67.8,66.6,1500,parking_planner,45.3
3.0,20.57,67.8,66.6,1500,recovery_planner,61.9
3.0,20.57,67.8,66.6,1500,path_tracker,35.3
3.0,20.57,67.8,66.6,1500,tunnel_bridge,19.3
3.0,20.57,67.8,66.6,1500,safety_monitor,42.6
3.0,20.57,67.8,66.6,1500,command_owner,39.0
3.0,20.57,67.8,66.6,1500,bpu_detector,51.6
3.0,20.57,67.8,66.6,1500,system_monitor,42.6
3.0,20.57,67.8,66.6,1500,race_supervisor,20.6
3.0,20.57,67.8,66.6,1500,gui_server,60.3
3.0,20.57,67.8,66.6,1500,measure_load.py,3.0
6.1,20.57,67.8,66.7,1500,python3,3.6
6.1,20.57,67.8,66.7,1500,astra_camera_container,71.3
6.1,20.57,67.8,66.7,1500,ydlidar_ros2_driver_node,2.6
6.1,20.57,67.8,66.7,1500,joy_node,3.9
6.1,20.57,67.8,66.7,1500,servo_controller,37.1
6.1,20.57,67.8,66.7,1500,tunnel_wall_follower,7.4
6.1,20.57,67.8,66.7,1500,road_perception,45.8
6.1,20.57,67.8,66.7,1500,local_memory,25.5
6.1,20.57,67.8,66.7,1500,uwb_ranges,1.6
6.1,20.57,67.8,66.7,1500,local_pose,33.6
6.1,20.57,67.8,66.7,1500,global_pose,28.7
6.1,20.57,67.8,66.7,1500,global_planner,2.9
