x_m,y_m
7.879,1.502
7.834,1.499
7.874,1.513
7.844,1.53
7.939,1.517
7.86,1.531
7.835,1.506
7.802,1.527
7.913,1.547
7.869,1.349
7.82,1.329
7.45,1.321
7.776,1.091
7.647,0.886
6.837,0.944
6.608,0.877
6.426,1.121
6.465,1.249
5.816,1.259
5.054,1.188
4.984,1.043
5.011,1.012
4.793,0.81
4.371,0.929
3.847,0.844
3.405,0.803
3.186,0.853
3.131,0.75
2.949,0.594
2.785,0.214
2.768,0.234
2.758,0.326
2.856,0.239
2.04,0.507
1.731,0.601
1.631,0.657
1.571,0.776
1.552,0.85
1.479,1.073
1.458,0.924
1.549,0.871
0.721,1.11
0.327,1.221
0.24,1.316
0.15,1.461
0.048,1.658
0.001,2.244
0.023,2.214
0.141,2.022
0.079,2.363
0.041,2.848
0.132,3.317
0.181,3.89
0.33,4.205
0.388,4.871
0.61,3.311
1.288,3.795
2.001,3.827
1.845,5.145
2.125,5.493
3.154,5.027
2.921,6.034
3.344,5.979
3.781,6.023
4.007,5.95
4.321,5.755
4.544,5.65
4.562,5.688
4.732,5.75
3.792,7.22
3.287,8.099
2.766,8.987
5.437,5.713
5.567,5.388
5.885,5.562
5.727,5.839
6.324,5.633
6.883,5.545
7.253,5.475
7.237,5.626
7.236,5.695
7.5,5.226
7.559,5.153
7.61,4.957
7.662,4.258
7.613,3.964
7.696,3.372
7.626,3.086
7.708,2.365
7.882,1.581
7.387,0.984
6.975,1.115
6.91,1.257
6.778,1.367
6.467,1.284
6.082,1.362
5.741,1.348
5.087,1.212
4.888,1.058
4.571,0.936
4.281,0.877
3.791,0.873
3.338,0.818
3.341,0.643
3.295,0.727
2.992,0.489
2.913,0.356
2.741,0.269
2.472,0.376
2.075,0.389
1.95,0.431
1.881,0.525
1.759,0.667
1.767,0.855
1.997,1.12
2.025,1.427
2.196,1.602
2.314,1.525
2.406,1.414
2.347,1.579
2.369,1.551
2.369,1.675
2.394,2.018
2.397,2.443
2.415,2.774
2.449,2.867
2.486,2.928
2.595,3.206
2.488,3.375
2.466,3.428
2.528,3.42
2.528,3.341
2.597,3.153
2.517,3.32
2.435,3.368
2.963,3.343
3.05,3.64
3.361,3.631
3.366,3.605
3.678,3.64
3.803,3.578
3.88,3.503
3.777,3.557
3.842,3.465
3.721,3.64
3.834,3.75
